"Titulo_original","primeira_palavra_genero","Duração","Lingua","Diretor","Escritor","Atores","Orçamento_Usd_USA","Renda_bruta_mundial","ROI_percentual","Nota_media_Imdb","Numero_votos_IMDB","Nota_media_metascore","Numero_avaliações_criticoscinema","Ator_principal","Ator_coadjuvante","Ator_coadjuvante2","Ator_coadjuvante3"
"Poltergeist","Horror",114,"English","Tobe Hooper","Steven Spielberg, Michael Grais","Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne, Oliver Robins, Heather O'Rourke, Michael McManus, Virginia Kiser, Martin Casella, Richard Lawson, Zelda Rubinstein, James Karen, Lou Perryman, Clair E. Leucart, Dirk Blocker","$20 ","$77,142,388 ",385711840,7.3,132785,79,250,"Craig T. Nelson"," JoBeth Williams"," Beatrice Straight"," Dominique Dunne"
"L'amant d'un jour","Drama",76,"French","Philippe Garrel","Jean-Claude CarriÃƒÂ¨re, Caroline Deruas-Garrel","Ãƒâ€°ric Caravaca, Esther Garrel, Louise Chevillotte, Paul Toucang, FÃƒÂ©lix Kysyl, RaphaÃƒÂ«l Naasz, Nicolas Bridet, Marie Sergeant, Michel Charrel, Justine Bachelet, Christian Bouillette, Laetitia Spigarelli, Manon Chircen, MaÃƒÂ¯a Foucault, Louise Guillaume","$2 ","$383,872 ",17291432,6.8,1630,69,43,"Ãƒâ€°ric Caravaca"," Esther Garrel"," Louise Chevillotte"," Paul Toucang"
"Paranormal Activity","Horror",86,"English","Oren Peli","Oren Peli","Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer","$15,000 ","$193,355,800 ",1288939,6.3,211267,68,298,"Katie Featherston"," Micah Sloat"," Mark Fredrichs"," Amber Armstrong"
"The Blair Witch Project","Horror",81,"English","Daniel Myrick, Eduardo SÃƒÂ¡nchez","Daniel Myrick, Eduardo SÃƒÂ¡nchez","Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin, Jim King, Sandra SÃƒÂ¡nchez, Ed Swanson, Patricia DeCou, Mark Mason, Susie Gooch","$60,000 ","$248,639,099 ",414298,6.5,220696,81,405,"Heather Donahue"," Joshua Leonard"," Michael C. Williams"," Bob Griffin"
"Grass","Drama",66,"Korean","Sang-soo Hong","Sang-soo Hong","Min-hee Kim, Joobong Kee, Jae-hong Ahn, Jin-young Jung, Sae-byeok Kim","$78 ","$53,503 ",68494,6.8,643,77,30,"Min-hee Kim"," Joobong Kee"," Jae-hong Ahn"," Jin-young Jung"
"Clean","Drama",111,"French, English, Cantonese","Olivier Assayas","Olivier Assayas","Maggie Cheung, Nick Nolte, BÃƒÂ©atrice Dalle, Jeanne Balibar, Don McKellar, Martha Henry, James Johnston, James Dennis, RÃƒÂ©mi Martin, Laetitia Spigarelli, Arnaud Churin, Man Kit Cheung, Kurtys Kidd, Shaun Austin-Olsen, Jodi Crawford","$5,760 ","$2,892,685 ",50120,6.8,4352,75,83,"Maggie Cheung"," Nick Nolte"," BÃƒÂ©atrice Dalle"," Jeanne Balibar"
"The Gallows","Horror",81,"English","Travis Cluff, Chris Lofing","Chris Lofing, Travis Cluff","Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford, Travis Cluff, Price T. Morgan, Melissa Bratton, Theo Burkhardt, David Herrara, Gannon Del Fierro, Mackie Burt, Adrian Salas, Mark Hales, John Hales, Shannon Wetzel","$100,000 ","$42,964,410 ",42864,4.2,18219,30,170,"Reese Mishler"," Pfeifer Brown"," Ryan Shoos"," Cassidy Gifford"
"Monsoon Wedding","Comedy",114,"Hindi, English","Mira Nair","Sabrina Dhawan","Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz, Tillotama Shome, Vasundhara Das, Parvin Dabas, Kulbhushan Kharbanda, Kamini Khanna, Rajat Kapoor, Neha Dubey, Kemaya Kidwai, Ishaan Nair, Randeep Hooda, Roshan Seth","$84,000 ","$30,787,356 ",36552,7.3,22423,77,137,"Naseeruddin Shah"," Lillete Dubey"," Shefali Shah"," Vijay Raaz"
"El mariachi","Action",81,"Spanish","Robert Rodriguez","Robert Rodriguez","Carlos Gallardo, Consuelo GÃƒÂ³mez, Jaime de Hoyos, Peter Marquardt, Reinol Martinez, Ramiro GÃƒÂ³mez, JesÃƒÂºs LÃƒÂ³pez, Luis BarÃƒÂ³, Oscar Fabila, Poncho RamÃƒÂ³n, Fernando MartÃƒÂ­nez, Manuel Acosta, Walter Vargas, Roberto Martinez, Virgen Delgado","$7,000 ","$2,040,920 ",29056,6.9,60274,73,58,"Carlos Gallardo"," Consuelo GÃƒÂ³mez"," Jaime de Hoyos"," Peter Marquardt"
"Offside","Comedy",93,"Persian","Jafar Panahi","Jafar Panahi, Shadmehr Rastin","Mohammad Asarian, Sima Mobarak-Shahi, Shayesteh Irani, Ayda Sadeqi, Golnaz Farmani, Mahnaz Zabihi, Nazanin Sediq-zadeh, Melika Shafahi, Safdar Samandar, Mohammad Kheir-abadi, Masoud Kheymeh-kabood, Mohammed-Reza Gharebaghi, Hadi Saeedi, Masoud Gheyas-vand, Ali Baradari","$2,500 ","$551,169 ",21947,7.3,6983,85,122,"Mohammad Asarian"," Sima Mobarak-Shahi"," Shayesteh Irani"," Ayda Sadeqi"
