"Ator_coadjuvante","Frequencia","Porcentagem"
" Gene Hackman",14,0.207192541068522
" Morgan Freeman",14,0.207192541068522
" Robert Downey Jr.",14,0.207192541068522
" Annette Bening",13,0.192393073849341
" Danny DeVito",13,0.192393073849341
" Diane Keaton",13,0.192393073849341
" Samuel L. Jackson",13,0.192393073849341
" Julianne Moore",12,0.177593606630161
" Nicole Kidman",12,0.177593606630161
" Robert De Niro",12,0.177593606630161
" Ashley Judd",11,0.162794139410981
" Cate Blanchett",11,0.162794139410981
" Michelle Pfeiffer",11,0.162794139410981
" Tommy Lee Jones",11,0.162794139410981
" Aaron Eckhart",10,0.147994672191801
" Angelina Jolie",10,0.147994672191801
" Bruce Willis",10,0.147994672191801
" Charlize Theron",10,0.147994672191801
" Eddie Murphy",10,0.147994672191801
" Kate Winslet",10,0.147994672191801
" Owen Wilson",10,0.147994672191801
" Susan Sarandon",10,0.147994672191801
" Alec Baldwin",9,0.133195204972621
" Brad Pitt",9,0.133195204972621
" Channing Tatum",9,0.133195204972621
" Christopher Lloyd",9,0.133195204972621
" Christopher Plummer",9,0.133195204972621
" Ed Harris",9,0.133195204972621
" Ewan McGregor",9,0.133195204972621
" Gary Oldman",9,0.133195204972621
" Greg Kinnear",9,0.133195204972621
" Gwyneth Paltrow",9,0.133195204972621
" Holly Hunter",9,0.133195204972621
" Jamie Lee Curtis",9,0.133195204972621
" Jeff Daniels",9,0.133195204972621
" Jennifer Garner",9,0.133195204972621
" Joel Edgerton",9,0.133195204972621
" John C. Reilly",9,0.133195204972621
" Julia Roberts",9,0.133195204972621
" Kristin Scott Thomas",9,0.133195204972621
" Reese Witherspoon",9,0.133195204972621
" Robert Duvall",9,0.133195204972621
" Salma Hayek",9,0.133195204972621
" Tom Wilkinson",9,0.133195204972621
" Willem Dafoe",9,0.133195204972621
" Woody Harrelson",9,0.133195204972621
" Anne Hathaway",8,0.118395737753441
" Carla Gugino",8,0.118395737753441
" Colin Firth",8,0.118395737753441
" Diane Lane",8,0.118395737753441
" Drew Barrymore",8,0.118395737753441
" Edward Norton",8,0.118395737753441
" Emma Stone",8,0.118395737753441
" Frances McDormand",8,0.118395737753441
" Harrison Ford",8,0.118395737753441
" Harvey Keitel",8,0.118395737753441
" James Franco",8,0.118395737753441
" Jeff Bridges",8,0.118395737753441
" Jennifer Aniston",8,0.118395737753441
" John Malkovich",8,0.118395737753441
" Kate Bosworth",8,0.118395737753441
" Matthew McConaughey",8,0.118395737753441
" Meg Ryan",8,0.118395737753441
" Michael Caine",8,0.118395737753441
" Natalie Portman",8,0.118395737753441
" Nick Nolte",8,0.118395737753441
" Rachel Weisz",8,0.118395737753441
" Rose Byrne",8,0.118395737753441
" Russell Crowe",8,0.118395737753441
" Scarlett Johansson",8,0.118395737753441
" Sean Penn",8,0.118395737753441
" Seth Rogen",8,0.118395737753441
" Zoe Saldana",8,0.118395737753441
" Amy Adams",7,0.103596270534261
" Anthony Hopkins",7,0.103596270534261
" Ashton Kutcher",7,0.103596270534261
" Ben Kingsley",7,0.103596270534261
" Billy Bob Thornton",7,0.103596270534261
" Catherine Keener",7,0.103596270534261
" Catherine Zeta-Jones",7,0.103596270534261
" Christopher Walken",7,0.103596270534261
" Colin Farrell",7,0.103596270534261
" Dakota Fanning",7,0.103596270534261
" Demi Moore",7,0.103596270534261
" Dennis Quaid",7,0.103596270534261
" Dustin Hoffman",7,0.103596270534261
