Ator_principal,Frequencia,Porcentagem
Nicolas Cage,45,0.665680473
Robert De Niro,36,0.532544379
Bruce Willis,35,0.517751479
Clint Eastwood,33,0.48816568
Johnny Depp,32,0.473372781
Tom Hanks,32,0.473372781
Tom Cruise,31,0.458579882
Adam Sandler,30,0.443786982
Denzel Washington,28,0.414201183
John Travolta,28,0.414201183
Sylvester Stallone,28,0.414201183
Arnold Schwarzenegger,26,0.384615385
Al Pacino,25,0.369822485
Mel Gibson,25,0.369822485
Robin Williams,25,0.369822485
Mark Wahlberg,24,0.355029586
Eddie Murphy,23,0.340236686
Harrison Ford,23,0.340236686
Jim Carrey,22,0.325443787
Kevin Costner,22,0.325443787
Liam Neeson,22,0.325443787
Matthew McConaughey,22,0.325443787
Brad Pitt,21,0.310650888
John Cusack,21,0.310650888
Matt Damon,21,0.310650888
Sandra Bullock,21,0.310650888
Will Ferrell,21,0.310650888
Dwayne Johnson,20,0.295857988
George Clooney,20,0.295857988
Keanu Reeves,20,0.295857988
Nicole Kidman,20,0.295857988
Antonio Banderas,19,0.281065089
Jeff Bridges,19,0.281065089
Meryl Streep,19,0.281065089
Samuel L. Jackson,19,0.281065089
Will Smith,19,0.281065089
Jackie Chan,18,0.266272189
Michael Douglas,18,0.266272189
Steve Carell,18,0.266272189
Ben Affleck,17,0.25147929
Ben Stiller,17,0.25147929
Christian Bale,17,0.25147929
Jason Statham,17,0.25147929
Kurt Russell,17,0.25147929
Leonardo DiCaprio,17,0.25147929
Sean Connery,17,0.25147929
Ewan McGregor,16,0.236686391
Hugh Jackman,16,0.236686391
Steve Martin,16,0.236686391
Brendan Fraser,15,0.221893491
Dennis Quaid,15,0.221893491
Jake Gyllenhaal,15,0.221893491
Julia Roberts,15,0.221893491
Richard Gere,15,0.221893491
Robert Downey Jr.,15,0.221893491
Vin Diesel,15,0.221893491
Colin Farrell,14,0.207100592
Ethan Hawke,14,0.207100592
Gerard Butler,14,0.207100592
Jack Nicholson,14,0.207100592
Robert Redford,14,0.207100592
Sean Penn,14,0.207100592
Anthony Hopkins,13,0.192307692
Gene Hackman,13,0.192307692
James McAvoy,13,0.192307692
Julianne Moore,13,0.192307692
Michael Caine,13,0.192307692
Owen Wilson,13,0.192307692
Pierce Brosnan,13,0.192307692
Reese Witherspoon,13,0.192307692
Ryan Gosling,13,0.192307692
Ryan Reynolds,13,0.192307692
Woody Harrelson,13,0.192307692
