"Ator_principal","Frequencia","Porcentagem"
"'Weird Al' Yankovic",1,0.014792899408284
"50 Cent",1,0.014792899408284
"A. Michael Baldwin",1,0.014792899408284
"A. Russell Andrews",1,0.014792899408284
"AÃƒÂ¯ssa MaÃƒÂ¯ga",1,0.014792899408284
"Aaliyah",1,0.014792899408284
"Aamir Khan",3,0.0443786982248521
"Aaran Thomas",1,0.014792899408284
"Aaron Abrams",1,0.014792899408284
"Aaron Eckhart",9,0.133136094674556
"Aaron Paul",1,0.014792899408284
"Aaron Pedersen",2,0.029585798816568
"Aaron Stanford",1,0.014792899408284
"Aaron Taylor-Johnson",3,0.0443786982248521
"Aaron Webber",1,0.014792899408284
"Aasif Mandvi",1,0.014792899408284
"Abbie Cornish",2,0.029585798816568
"Abdelhakim Rachi",1,0.014792899408284
"Abigail Breslin",5,0.0739644970414201
"Abigail Spencer",1,0.014792899408284
"Abraham Attah",1,0.014792899408284
"Adam Bakri",2,0.029585798816568
"Adam Beach",1,0.014792899408284
"Adam Bousdoukos",1,0.014792899408284
"Adam Brody",1,0.014792899408284
"Adam Butcher",1,0.014792899408284
"Adam Carolla",1,0.014792899408284
"Adam Devine",1,0.014792899408284
"Adam Garcia",1,0.014792899408284
"Adam Goldberg",1,0.014792899408284
"Adam Greaves-Neal",1,0.014792899408284
"Adam Pally",1,0.014792899408284
"Adam Rothenberg",1,0.014792899408284
"Adam Sandler",30,0.443786982248521
"Adam Scott",1,0.014792899408284
"Adel Karam",1,0.014792899408284
"Adelaide Clemens",1,0.014792899408284
"Adepero Oduye",1,0.014792899408284
"Adewale Akinnuoye-Agbaje",2,0.029585798816568
"Adir Miller",1,0.014792899408284
"Adrian Grenier",1,0.014792899408284
"Adrian Pasdar",1,0.014792899408284
"Adrian Paul",2,0.029585798816568
"Adrian Quinton",1,0.014792899408284
"Adrian Titieni",1,0.014792899408284
"Adriano Luz",1,0.014792899408284
"Adrien Brody",6,0.0887573964497041
"Adrienne Barbeau",2,0.029585798816568
"Adrienne Shelly",1,0.014792899408284
"Ãƒâ€°milie Dequenne",1,0.014792899408284
"Ãƒâ€°ric Caravaca",1,0.014792899408284
"Ãƒâ€œscar Jaenada",1,0.014792899408284
"Agathe Bonitzer",1,0.014792899408284
"Agnes Bruckner",1,0.014792899408284
"Ahidjo Mahamat Moussa",1,0.014792899408284
"Aidan Kelly",1,0.014792899408284
"Aidan Quinn",1,0.014792899408284
"Aimee Garcia",1,0.014792899408284
"Aimee Teegarden",2,0.029585798816568
"Aishwarya Rai Bachchan",1,0.014792899408284
"Ajay Devgn",1,0.014792899408284
"Akira Takarada",1,0.014792899408284
"Aksel Hennie",1,0.014792899408284
"Al Ernest Garcia",1,0.014792899408284
"Al Pacino",25,0.369822485207101
"Alain Moussi",2,0.029585798816568
"Alan Fawcett",1,0.014792899408284
"Alan Howard",1,0.014792899408284
"Alan Rickman",3,0.0443786982248521
"Alan Van Sprang",1,0.014792899408284
"Alba Rohrwacher",1,0.014792899408284
"Albert Brooks",2,0.029585798816568
"Albert Dupontel",1,0.014792899408284
"Albert Finney",3,0.0443786982248521
"Alberto Reyes",1,0.014792899408284
"Alden Ehrenreich",3,0.0443786982248521
"Alec Baldwin",6,0.0887573964497041
"Alejandro Ferretis",1,0.014792899408284
"Aleksey Tryapitsyn",1,0.014792899408284
"Alessandro Nivola",2,0.029585798816568
"Alex BrendemÃƒÂ¼hl",1,0.014792899408284
"Alex D. Linz",1,0.014792899408284
"Alex Fisher",1,0.014792899408284
"Alex Frost",1,0.014792899408284
"Alex Kendrick",1,0.014792899408284
"Alex Lewis",1,0.014792899408284
"Alex McArthur",1,0.014792899408284
"Alex Michaeletos",1,0.014792899408284
"Alex Neustaedter",1,0.014792899408284
"Alex Palmer",1,0.014792899408284
"Alex Pettyfer",3,0.0443786982248521
"Alex Roe",1,0.014792899408284
"Alex Vincent",1,0.014792899408284
"Alex Wolff",1,0.014792899408284
"Alexa PenaVega",2,0.029585798816568
"Alexander Fehling",1,0.014792899408284
"Alexander Ludwig",1,0.014792899408284
"Alexander Nevsky",1,0.014792899408284
"Alexander Siddig",1,0.014792899408284
"Alexander SkarsgÃƒÂ¥rd",1,0.014792899408284
"Alexandra DahlstrÃƒÂ¶m",1,0.014792899408284
"Alexandre Bailly",1,0.014792899408284
"Alexandre Rodrigues",1,0.014792899408284
"Alexandria M. Salling",1,0.014792899408284
"Alexis Bledel",3,0.0443786982248521
"Alfonso Freeman",1,0.014792899408284
"Alfre Woodard",2,0.029585798816568
"Alfred Molina",2,0.029585798816568
"Alfredo Armenteros",1,0.014792899408284
"Ali Larter",1,0.014792899408284
"Ali MacGraw",1,0.014792899408284
"Alice Evans",1,0.014792899408284
"Alice Lowe",2,0.029585798816568
"Alicia Silverstone",3,0.0443786982248521
"Alicia Vikander",4,0.0591715976331361
"Alison Crosbie",1,0.014792899408284
"Alison Garland",1,0.014792899408284
"Alison Lohman",1,0.014792899408284
"Alistair Abell",1,0.014792899408284
"Allan Corduner",1,0.014792899408284
"Allie Chan",1,0.014792899408284
"Allie Mickelson",1,0.014792899408284
"Allison Miller",1,0.014792899408284
"Ally Sheedy",1,0.014792899408284
"Alon Aboutboul",1,0.014792899408284
"Aly Michalka",1,0.014792899408284
"Alycia Debnam-Carey",1,0.014792899408284
"Alyson Hannigan",1,0.014792899408284
"Amanda Bynes",3,0.0443786982248521
"Amanda Donohoe",1,0.014792899408284
"Amanda Peet",2,0.029585798816568
"Amanda Schull",1,0.014792899408284
"Amanda Seyfried",5,0.0739644970414201
"Amandla Stenberg",3,0.0443786982248521
"Amber Benson",1,0.014792899408284
"Amber Heard",3,0.0443786982248521
"Amber Tamblyn",2,0.029585798816568
"Ambyr Childers",1,0.014792899408284
"America Ferrera",1,0.014792899408284
"Amitabh Bachchan",2,0.029585798816568
"Amy Adams",6,0.0887573964497041
"Amy Aquino",1,0.014792899408284
"Amy Braverman",1,0.014792899408284
"Amy Brenneman",1,0.014792899408284
"Amy Poehler",3,0.0443786982248521
"Amy Ryan",1,0.014792899408284
"Amy Schumer",2,0.029585798816568
"Amy Sedaris",1,0.014792899408284
"Amy Seimetz",1,0.014792899408284
"Amy Smart",1,0.014792899408284
"Amy Steel",1,0.014792899408284
"Ana Brun",1,0.014792899408284
"Ana Cecilia Stieglitz",1,0.014792899408284
"Ana de Armas",1,0.014792899408284
"Ana Rita Gurgel",1,0.014792899408284
"Anamaria Marinca",1,0.014792899408284
"Anastasia Hille",1,0.014792899408284
"Anastasiya Shalonko",1,0.014792899408284
"Anatole Taubman",1,0.014792899408284
"Anders W. Berthelsen",1,0.014792899408284
"Andie MacDowell",2,0.029585798816568
"AndrÃƒÂ© Benjamin",2,0.029585798816568
"AndrÃƒÂ© Vippolis",1,0.014792899408284
"AndrÃƒÂ© Wilms",1,0.014792899408284
"AndrÃƒÂ©s Pazos",1,0.014792899408284
"AndrÃƒÂ©s VÃƒÂ¡zquez",1,0.014792899408284
"Andranic Manet",1,0.014792899408284
"Andre Gower",1,0.014792899408284
"Andrea Alzuri",1,0.014792899408284
"Andrea Berntzen",1,0.014792899408284
"Andrea James",1,0.014792899408284
"Andreas Lust",1,0.014792899408284
"Andreas Wilson",1,0.014792899408284
"Andrew Ableson",1,0.014792899408284
"Andrew Chalmers",1,0.014792899408284
"Andrew Dice Clay",1,0.014792899408284
"Andrew Garfield",6,0.0887573964497041
"Andrew Jacobs",1,0.014792899408284
"Andrew McCarthy",1,0.014792899408284
"Andrew Robinson",1,0.014792899408284
"Andrzej Chyra",1,0.014792899408284
"Andy Garcia",5,0.0739644970414201
"Andy Gray",1,0.014792899408284
"Andy Lau",1,0.014792899408284
"Andy Powers",1,0.014792899408284
"Andy Samberg",3,0.0443786982248521
"Andy Serkis",4,0.0591715976331361
"Anessa Ramsey",1,0.014792899408284
"Aneurin Barnard",1,0.014792899408284
"Angela Bain",1,0.014792899408284
"Angela Bassett",3,0.0443786982248521
"Angela Bettis",1,0.014792899408284
"Angela Galuppo",1,0.014792899408284
"Angelababy",1,0.014792899408284
"Angelina Jolie",9,0.133136094674556
"Angourie Rice",1,0.014792899408284
"Anika Noni Rose",1,0.014792899408284
"Anjelica Huston",2,0.029585798816568
"Ann Dowd",1,0.014792899408284
"Anna Camp",1,0.014792899408284
"Anna Faris",3,0.0443786982248521
"Anna Karina",1,0.014792899408284
"Anna Kendrick",9,0.133136094674556
"Anna Paquin",2,0.029585798816568
"Annabella Sciorra",1,0.014792899408284
"Annabelle Wallis",1,0.014792899408284
