Diretor,Frequencia,Porcentagem.Freq
Clint Eastwood,34,0.50295858
Woody Allen,34,0.50295858
Steven Spielberg,31,0.458579882
Steven Soderbergh,26,0.384615385
Martin Scorsese,24,0.355029586
Ridley Scott,24,0.355029586
Ron Howard,22,0.325443787
Brian De Palma,18,0.266272189
Renny Harlin,18,0.266272189
Robert Zemeckis,18,0.266272189
Tim Burton,18,0.266272189
Barry Levinson,17,0.25147929
Oliver Stone,17,0.25147929
Spike Lee,17,0.25147929
Francis Ford Coppola,16,0.236686391
Joel Schumacher,16,0.236686391
John Carpenter,16,0.236686391
Rob Reiner,16,0.236686391
Richard Linklater,15,0.221893491
Tyler Perry,15,0.221893491
David Cronenberg,14,0.207100592
Ivan Reitman,14,0.207100592
Richard Donner,14,0.207100592
Sam Raimi,14,0.207100592
Tony Scott,14,0.207100592
Wes Craven,14,0.207100592
Gus Van Sant,13,0.192307692
Michael Bay,13,0.192307692
Mike Nichols,13,0.192307692
Robert Altman,13,0.192307692
Robert Rodriguez,13,0.192307692
Roland Emmerich,13,0.192307692
Stephen Frears,13,0.192307692
Antoine Fuqua,12,0.177514793
Dennis Dugan,12,0.177514793
Garry Marshall,12,0.177514793
Kevin Smith,12,0.177514793
Paul Schrader,12,0.177514793
Stephen Herek,12,0.177514793
Walter Hill,12,0.177514793
Ang Lee,11,0.162721893
"Bobby Farrelly, Peter Farrelly",11,0.162721893
Chris Columbus,11,0.162721893
Danny Boyle,11,0.162721893
David Gordon Green,11,0.162721893
Edward Zwick,11,0.162721893
Jon Turteltaub,11,0.162721893
M. Night Shyamalan,11,0.162721893
Marc Forster,11,0.162721893
Michael Mann,11,0.162721893
Peter Weir,11,0.162721893
Phillip Noyce,11,0.162721893
Roger Donaldson,11,0.162721893
Roman Polanski,11,0.162721893
Shawn Levy,11,0.162721893
Sidney Lumet,11,0.162721893
Terry Gilliam,11,0.162721893
Alfred Hitchcock,10,0.147928994
Barry Sonnenfeld,10,0.147928994
Bryan Singer,10,0.147928994
Christopher Nolan,10,0.147928994
David Fincher,10,0.147928994
Donald Petrie,10,0.147928994
Gore Verbinski,10,0.147928994
Guillermo del Toro,10,0.147928994
James Mangold,10,0.147928994
"Joel Coen, Ethan Coen",10,0.147928994
Lasse HallstrÃƒÂ¶m,10,0.147928994
Mark Waters,10,0.147928994
Paul W.S. Anderson,10,0.147928994
Peter Berg,10,0.147928994
Peter Jackson,10,0.147928994
Todd Phillips,10,0.147928994
Adam Shankman,9,0.133136095
Andrew Davis,9,0.133136095
Brett Ratner,9,0.133136095
Brian Robbins,9,0.133136095
David Lynch,9,0.133136095
David O. Russell,9,0.133136095
F. Gary Gray,9,0.133136095
Guy Ritchie,9,0.133136095
Harold Ramis,9,0.133136095
James Wan,9,0.133136095
Jay Roach,9,0.133136095
John Landis,9,0.133136095
Jon Favreau,9,0.133136095
Martin Campbell,9,0.133136095
Michael Winterbottom,9,0.133136095
Neil LaBute,9,0.133136095
Peter Segal,9,0.133136095
Quentin Tarantino,9,0.133136095
Raja Gosnell,9,0.133136095
Stanley Kubrick,9,0.133136095
Sydney Pollack,9,0.133136095
Tim Story,9,0.133136095
William Friedkin,9,0.133136095
Alan Parker,8,0.118343195
Atom Egoyan,8,0.118343195
Bill Condon,8,0.118343195
Blake Edwards,8,0.118343195
D.J. Caruso,8,0.118343195
Doug Liman,8,0.118343195
Frank Oz,8,0.118343195
George A. Romero,8,0.118343195
James Foley,8,0.118343195
James Ivory,8,0.118343195
Joe Johnston,8,0.118343195
John McTiernan,8,0.118343195
John Singleton,8,0.118343195
John Stockwell,8,0.118343195
Justin Lin,8,0.118343195
Kathryn Bigelow,8,0.118343195
Luc Besson,8,0.118343195
Mel Brooks,8,0.118343195
Neil Jordan,8,0.118343195
Norman Jewison,8,0.118343195
Paul Thomas Anderson,8,0.118343195
Paul Verhoeven,8,0.118343195
Peter Hyams,8,0.118343195
Rob Cohen,8,0.118343195
Robert Redford,8,0.118343195
Simon West,8,0.118343195
Taylor Hackford,8,0.118343195
Tom Shadyac,8,0.118343195
Wes Anderson,8,0.118343195
Wolfgang Petersen,8,0.118343195
Zack Snyder,8,0.118343195
Adam McKay,7,0.103550296
Adrian Lyne,7,0.103550296
Alexander Payne,7,0.103550296
Amy Heckerling,7,0.103550296
Andy Fickman,7,0.103550296
Andy Tennant,7,0.103550296
Betty Thomas,7,0.103550296
Bruce Beresford,7,0.103550296
Curtis Hanson,7,0.103550296
Darren Aronofsky,7,0.103550296
