Escritor,Frequencia,Porcentagem.Freq
Woody Allen,29,0.428994083
"Joel Coen, Ethan Coen",13,0.192307692
John Hughes,11,0.162721893
Kevin Smith,10,0.147928994
M. Night Shyamalan,10,0.147928994
"Jon Lucas, Scott Moore",9,0.133136095
"Christopher Markus, Stephen McFeely",8,0.118343195
"Luc Besson, Robert Mark Kamen",8,0.118343195
"Patrick Melton, Marcus Dunstan",8,0.118343195
Tyler Perry,8,0.118343195
"Cinco Paul, Ken Daurio",7,0.103550296
"Lilly Wachowski, Lana Wachowski",7,0.103550296
Mike Leigh,7,0.103550296
"Sean Anders, John Morris",7,0.103550296
Steven Knight,7,0.103550296
Ehren Kruger,6,0.088757396
"Fran Walsh, Philippa Boyens",6,0.088757396
"Jason Friedberg, Aaron Seltzer",6,0.088757396
John Sayles,6,0.088757396
John Waters,6,0.088757396
Lars von Trier,6,0.088757396
"Lowell Ganz, Babaloo Mandel",6,0.088757396
Luc Besson,6,0.088757396
Paul Thomas Anderson,6,0.088757396
Paul W.S. Anderson,6,0.088757396
"Phil Hay, Matt Manfredi",6,0.088757396
Robert Rodriguez,6,0.088757396
"Scott Neustadter, Michael H. Weber",6,0.088757396
"Tyler Perry, Tyler Perry",6,0.088757396
"Abby Kohn, Marc Silverstein",5,0.073964497
"Alex Kendrick, Stephen Kendrick",5,0.073964497
Andrew Niccol,5,0.073964497
Dan Fogelman,5,0.073964497
David Ayer,5,0.073964497
David Mamet,5,0.073964497
Diablo Cody,5,0.073964497
"Don Mancini, Don Mancini",5,0.073964497
"Ethan Coen, Joel Coen",5,0.073964497
"Jerry Siegel, Joe Shuster",5,0.073964497
Jim Jarmusch,5,0.073964497
"Jim Thomas, John Thomas",5,0.073964497
"John Carpenter, Debra Hill",5,0.073964497
"Jonathan Aibel, Glenn Berger",5,0.073964497
"Mark Neveldine, Brian Taylor",5,0.073964497
"Melissa Rosenberg, Stephenie Meyer",5,0.073964497
Nicole Holofcener,5,0.073964497
Paul Schrader,5,0.073964497
Pedro AlmodÃƒÂ³var,5,0.073964497
Quentin Tarantino,5,0.073964497
"Rhett Reese, Paul Wernick",5,0.073964497
Richard Curtis,5,0.073964497
