Lingua,Frequencia,Porcentagem.Freq
English,3986,58.96449704
"English, Spanish",361,5.340236686
"English, French",187,2.766272189
"English, German",80,1.183431953
"English, Italian",80,1.183431953
"English, Russian",72,1.065088757
French,49,0.724852071
Spanish,41,0.606508876
"English, Japanese",39,0.576923077
"French, English",36,0.532544379
"English, Mandarin",35,0.517751479
"English, Arabic",32,0.473372781
"English, Latin",29,0.428994083
"English, French, Spanish",24,0.355029586
"English, Ukrainian",24,0.355029586
"Spanish, English",24,0.355029586
"English, American Sign Language",22,0.325443787
"English, Hebrew",21,0.310650888
Japanese,20,0.295857988
"English, French, German",19,0.281065089
"English, Cantonese",17,0.25147929
"English, German, French",16,0.236686391
"English, Portuguese",16,0.236686391
Mandarin,16,0.236686391
"English, French, Italian",15,0.221893491
German,15,0.221893491
Korean,13,0.192307692
"English, Italian, Spanish",12,0.177514793
"English, Spanish, French",12,0.177514793
Portuguese,11,0.162721893
"English, Korean",10,0.147928994
"English, Russian, Spanish",10,0.147928994
"English, Swedish",10,0.147928994
Italian,10,0.147928994
Russian,10,0.147928994
"English, Chinese",9,0.133136095
"English, German, Russian",9,0.133136095
"English, Hindi",9,0.133136095
"English, Vietnamese",9,0.133136095
"Hindi, English",9,0.133136095
Romanian,9,0.133136095
"English, Greek",8,0.118343195
"English, Italian, French",8,0.118343195
"English, Thai",8,0.118343195
"English, German, Italian",7,0.103550296
"English, German, Spanish",7,0.103550296
"English, Klingon",7,0.103550296
"English, Danish",6,0.088757396
"English, Dutch",6,0.088757396
"English, French, Russian",6,0.088757396
"English, Hungarian",6,0.088757396
"English, Indonesian",6,0.088757396
"English, Irish",6,0.088757396
"English, Russian, French",6,0.088757396
"English, Scottish Gaelic",6,0.088757396
"English, Spanish, German",6,0.088757396
"English, Spanish, Russian",6,0.088757396
"English, Turkish",6,0.088757396
"French, Arabic",6,0.088757396
"French, Spanish",6,0.088757396
"Italian, English",6,0.088757396
"Japanese, English",6,0.088757396
"English, Afrikaans",5,0.073964497
"English, Arabic, French",5,0.073964497
"English, French, German, Italian",5,0.073964497
"English, Italian, Latin",5,0.073964497
"English, Japanese, French",5,0.073964497
"English, Mandarin, Cantonese",5,0.073964497
"Korean, English",5,0.073964497
Persian,5,0.073964497
"Arabic, English",4,0.059171598
Cantonese,4,0.059171598
"English, Aboriginal",4,0.059171598
"English, Armenian",4,0.059171598
"English, Italian, Japanese",4,0.059171598
"English, Mandarin, Spanish",4,0.059171598
"English, Romanian",4,0.059171598
"English, Serbo-Croatian",4,0.059171598
"English, Spanish, Cantonese",4,0.059171598
"English, Spanish, Italian",4,0.059171598
"English, Spanish, Japanese",4,0.059171598
"English, Spanish, Korean",4,0.059171598
"English, Spanish, Latin",4,0.059171598
"English, Urdu",4,0.059171598
"English, Yiddish",4,0.059171598
"French, Arabic, English",4,0.059171598
Hindi,4,0.059171598
"Italian, Spanish",4,0.059171598
"Mandarin, English",4,0.059171598
"Mandarin, Japanese",4,0.059171598
