,Nota_media_Imdb,Numero_votos_IMDB
ROI_percentual,0.007566378,0.020786152
Duração,0.393848365,0.322905304
Nota_media_Imdb,1,0.429060951
Numero_votos_IMDB,0.429060951,1
Orçamento_Usd_USA,0.03638646,0.445612336
Renda_bruta_mundial,0.187968565,0.60745703
Nota_media_metascore,0.737522875,0.294331177
Numero_avaliações_Metacritics,0.285854836,0.740869616
Numero_avaliações_criticoscinema,0.321291417,0.607526423
,,
,Duração,Numero_avaliações_Metacritics
ROI_percentual,-0.020449276,0.05914556
Duração,1,0.318545567
Nota_media_Imdb,0.393848365,0.285854836
Numero_votos_IMDB,0.322905304,0.740869616
Orçamento_Usd_USA,0.276429593,0.493707867
Renda_bruta_mundial,0.25113298,0.621451303
Nota_media_metascore,0.277902281,0.200792944
Numero_avaliações_Metacritics,0.318545567,1
Numero_avaliações_criticoscinema,0.25564011,0.608298185
,,
,Nota_media_metascore,Numero_avaliações_criticoscinema
ROI_percentual,0.024015817,0.028568535
Duração,0.277902281,0.25564011
Nota_media_Imdb,0.737522875,0.321291417
Numero_votos_IMDB,0.294331177,0.607526423
Orçamento_Usd_USA,-0.039414471,0.505259314
Renda_bruta_mundial,0.121124117,0.53785828
Nota_media_metascore,1,0.307194319
Numero_avaliações_Metacritics,0.200792944,0.608298185
Numero_avaliações_criticoscinema,0.307194319,1
,,
,Orçamento_Usd_USA,Renda_bruta_mundial
ROI_percentual,-0.016100116,0.018882105
Duração,0.276429593,0.25113298
Nota_media_Imdb,0.03638646,0.187968565
Numero_votos_IMDB,0.445612336,0.60745703
Orçamento_Usd_USA,1,0.748274837
Renda_bruta_mundial,0.748274837,1
Nota_media_metascore,-0.039414471,0.121124117
Numero_avaliações_Metacritics,0.493707867,0.621451303
Numero_avaliações_criticoscinema,0.505259314,0.53785828
,,
,ROI_percentual,
ROI_percentual,1,
Duração,-0.020449276,
Nota_media_Imdb,0.007566378,
Numero_votos_IMDB,0.020786152,
Orçamento_Usd_USA,-0.016100116,
Renda_bruta_mundial,0.018882105,
Nota_media_metascore,0.024015817,
Numero_avaliações_Metacritics,0.05914556,
Numero_avaliações_criticoscinema,0.028568535,
