genero_principal,ROI_percentual.max,ROI_percentual.mean,ROI_percentual.min
Action,29056,194,-100
Adventure,10834,259,-100
Animation,12237,369,-100
Biography,3945,165,-100
Comedy,36552,297,-100
Crime,4002,121,-100
Drama,17291430,12170,-100
Family,7452,1003,-82
Fantasy,895,137,-98
Film-Noir,-100,-100,-100
Horror,385711800,1164277,-100
Music,-56,-56,-56
Musical,6516,1571,-100
Mystery,3603,320,-88
Romance,416,24,-100
Sci-Fi,563,73,-100
Thriller,901,0,-100
War,-52,-70,-87
Western,2400,993,-99
,,,
genero_principal,ROI_percentual.Q1.25%,ROI_percentual.Q3.75%,
Action,-25,243,
Adventure,-32,305,
Animation,36,389,
Biography,-59,197,
Comedy,-50,251,
Crime,-79,159,
Drama,-83,191,
Family,-72,288,
Fantasy,-64,217,
Film-Noir,-100,-100,
Horror,6,727,
Music,-56,-56,
Musical,-80,1586,
Mystery,21,368,
Romance,-99,93,
Sci-Fi,-78,-4,
Thriller,-100,-87,
War,-78,-61,
Western,-98,2004,
